SOFT COST:SC DIV 02 - Building Design Fees:SC 2.4 Civil Works,Expenses,Other Business Expenses
SOFT COST:SC DIV 02 - Building Design Fees:SC 2.5 Landscape Design,Expenses,Other Business Expenses
SOFT COST:SC DIV 02 - Building Design Fees:SC 2.6 Interiors Design,Expenses,Other Business Expenses
SOFT COST:SC DIV 02 - Building Design Fees:SC 2.7 Technical Services,Expenses,Other Business Expenses
SOFT COST:SC DIV 02 - Building Design Fees:SC 2.8 Fitness Consultant,Expenses,Other Business Expenses
SOFT COST:SC DIV 02 - Building Design Fees:SC 2.9 Other - Design Consultants,Expenses,Other Business Expenses
SOFT COST:SC DIV 03 - Land Development / Preconstruction,Expenses,Other Business Expenses
SOFT COST:SC DIV 03 - Land Development / Preconstruction:SC 3.1 Land Survey,Expenses,Other Business Expenses
SOFT COST:SC DIV 03 - Land Development / Preconstruction:SC 3.2 Zoning Attorney,Expenses,Other Business Expenses
SOFT COST:SC DIV 03 - Land Development / Preconstruction:SC 3.3 Geo Technical Report,Expenses,Other Business Expenses
SOFT COST:SC DIV 03 - Land Development / Preconstruction:SC 3.4 Opinion of Titles / Unity of Titles,Expenses,Other Business Expenses
SOFT COST:SC DIV 03 - Land Development / Preconstruction:SC 3.5 Other - Preconstruction,Expenses,Other Business Expenses
SOFT COST:SC DIV 04 - Environmental,Expenses,Other Business Expenses
SOFT COST:SC DIV 04 - Environmental:SC 4.1 Underground Tanks / Contaminated Soils,Expenses,Other Business Expenses
SOFT COST:SC DIV 04 - Environmental:SC 4.2 Animal Removal / Relocation,Expenses,Other Business Expenses
SOFT COST:SC DIV 04 - Environmental:SC 4.3 Other - Environmental,Expenses,Other Business Expenses
SOFT COST:SC DIV 05 - Material Testing / 3rd Party Inspections,Expenses,Other Business Expenses
SOFT COST:SC DIV 05 - Material Testing / 3rd Party Inspections:SC 5.1 Concrete Testing,Expenses,Other Business Expenses
SOFT COST:SC DIV 05 - Material Testing / 3rd Party Inspections:SC 5.2 Special Engineers / Inspectors,Expenses,Other Business Expenses
SOFT COST:SC DIV 05 - Material Testing / 3rd Party Inspections:SC 5.3 State Inspection by 3rd Party,Expenses,Other Business Expenses
SOFT COST:SC DIV 05 - Material Testing / 3rd Party Inspections:SC 5.4 Other - Testing & Inspections,Expenses,Other Business Expenses
SOFT COST:SC DIV 06 - Insurance & Bond,Expenses,Other Business Expenses
SOFT COST:SC DIV 06 - Insurance & Bond:SC 6.1 Builder's Risk Insurance,Expenses,Other Business Expenses
SOFT COST:SC DIV 06 - Insurance & Bond:SC 6.2 General Liability Insurance,Expenses,Other Business Expenses
SOFT COST:SC DIV 06 - Insurance & Bond:SC 6.3 Performance and Payment Bond,Expenses,Other Business Expenses
SOFT COST:SC DIV 07 - Lender Fees,Expenses,Other Business Expenses
SOFT COST:SC DIV 07 - Lender Fees:SC 7.0 Loan Commitment Fees,Expenses,Other Business Expenses
SOFT COST:SC DIV 07 - Lender Fees:SC 7.1 Loan Closing Costs & Expenses,Expenses,Other Business Expenses
SOFT COST:SC DIV 07 - Lender Fees:SC 7.2 Construction Loan Interest,Expenses,Other Business Expenses
